Order ID,Order Date,Customer Name,Category,Sub Category,Region,State,City,Sales,Discount,Profit
OD1,11/08/2017,Harish,Oil & Masala,Masalas,North,Tamil Nadu,Vellore,1254,0.12,401.28
OD2,11/08/2017,Sudha,Beverages,Health Drinks,South,Tamil Nadu,Krishnagiri,749,0.18,149.8
OD3,06/12/2017,Hussain,Food Grains,Atta & Flour,West,Tamil Nadu,Perambalur,2360,0.21,165.2
OD4,10/11/2016,Jackson,Fruits & Veggies,Fresh Vegetables,South,Tamil Nadu,Dharmapuri,896,0.25,89.6
OD5,10/11/2016,Ridhesh,Food Grains,Organic Staples,South,Tamil Nadu,Ooty,2355,0.26,918.45
OD6,06/09/2015,Adavan,Food Grains,Organic Staples,West,Tamil Nadu,Dharmapuri,2305,0.26,322.7
OD7,06/09/2015,Jonas,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Trichy,826,0.33,346.92
OD8,06/09/2015,Hafiz,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Ramanadhapuram,1847,0.32,147.76
OD9,06/09/2015,Hafiz,Bakery,Biscuits,West,Tamil Nadu,Tirunelveli,791,0.23,181.93
OD10,06/09/2015,Krithika,Bakery,Cakes,West,Tamil Nadu,Chennai,1795,0.27,484.65
OD11,06/09/2015,Ganesh,Snacks,Chocolates,West,Tamil Nadu,Karur,1903,0.13,437.69
OD12,06/09/2015,Yadav,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Namakkal,701,0.1,308.44
OD13,15/04/2018,Sharon,Snacks,Cookies,South,Tamil Nadu,Dindigul,1659,0.19,315.21
OD14,12/05/2017,Peer,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Kanyakumari,1277,0.25,63.85
OD15,22/11/2016,Sundar,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Kanyakumari,831,0.22,207.75
OD16,22/11/2016,Ramesh,Oil & Masala,Edible Oil & Ghee,Central,Tamil Nadu,Krishnagiri,1440,0.11,100.8
OD17,11/11/2015,Alan,Bakery,Cakes,Central,Tamil Nadu,Dharmapuri,1678,0.28,318.82
OD18,13/05/2015,Arutra,Beverages,Health Drinks,West,Tamil Nadu,Bodi,1617,0.19,113.19
OD19,27/08/2015,Haseena,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Tenkasi,1757,0.35,386.54
OD20,27/08/2015,Verma,Beverages,Soft Drinks,West,Tamil Nadu,Kanyakumari,692,0.29,159.16
OD21,27/08/2015,Hafiz,Beverages,Health Drinks,West,Tamil Nadu,Vellore,522,0.19,208.8
OD22,12/09/2017,Alan,Food Grains,Dals & Pulses,Central,Tamil Nadu,Karur,948,0.13,47.4
OD23,12/09/2017,Haseena,Beverages,Soft Drinks,Central,Tamil Nadu,Krishnagiri,707,0.34,148.47
OD24,16/07/2018,Alan,Fruits & Veggies,Organic Vegetables,East,Tamil Nadu,Tenkasi,969,0.29,77.52
OD25,25/09/2016,Sharon,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Ooty,1100,0.11,495
OD26,16/01/2017,Krithika,Snacks,Chocolates,West,Tamil Nadu,Tirunelveli,2022,0.11,202.2
OD27,16/01/2017,Muneer,Snacks,Cookies,West,Tamil Nadu,Trichy,541,0.12,43.28
OD28,17/09/2016,Jackson,Bakery,Biscuits,East,Tamil Nadu,Viluppuram,979,0.22,401.39
OD29,17/09/2016,Veronica,Beverages,Soft Drinks,East,Tamil Nadu,Krishnagiri,1988,0.22,874.72
OD30,17/09/2016,Shah,Oil & Masala,Masalas,East,Tamil Nadu,Kanyakumari,989,0.17,69.23
OD31,17/09/2016,Ramesh,Beverages,Soft Drinks,East,Tamil Nadu,Dharmapuri,1845,0.24,166.05
OD32,17/09/2016,Mathew,Snacks,Noodles,East,Tamil Nadu,Vellore,1400,0.11,420
OD33,17/09/2016,Akash,Oil & Masala,Edible Oil & Ghee,East,Tamil Nadu,Trichy,2163,0.26,670.53
OD34,17/09/2016,Anu,Oil & Masala,Masalas,East,Tamil Nadu,Madurai,1689,0.34,337.8
OD35,19/10/2018,Anu,Beverages,Health Drinks,Central,Tamil Nadu,Vellore,809,0.32,80.9
OD36,12/08/2017,Sabeela,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Tirunelveli,1265,0.22,569.25
OD37,12/08/2017,James,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,934,0.35,56.04
OD38,27/12/2016,Willams,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Ramanadhapuram,1354,0.16,446.82
OD39,27/12/2016,Jonas,Fruits & Veggies,Fresh Fruits,Central,Tamil Nadu,Chennai,1751,0.19,280.16
OD40,27/12/2016,Sabeela,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Cumbum,2045,0.23,879.35
